sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
3379675,5,8.0,0,0,0,0,0,1,2,2,1,,0,-99.0,0.0,0,,,,,,
3457434,3,8.0,0,0,0,0,0,0,0,0,0,,0,0.98,0.98,0,,,,,,
3443354,2175,8.0,250,2134,3205,5457,104,326,584,1183,136,,250,0.88,0.91,0,,,,,,
3449318,19,4.0,0,0,0,0,1,2,7,10,0,,0,0.73,0.78,0,,,,,,
3434404,39,12.0,0,0,0,24,3,10,21,46,8,,0,0.98,0.98,0,,,,,,
3463355,0,8.0,0,0,0,0,0,3,20,24,0,,0,0.79,0.66,0,,,,,,
3506666,2,9.0,0,0,0,0,0,0,0,0,0,,0,0.7,0.66,0,,,,,,
3493859,18,9.0,0,0,0,0,0,0,0,0,0,,0,0.94,0.83,0,,,,,,
3362856,16,12.0,2,80,130,180,21,71,120,178,17,,0,0.18,0.38,0,,,,,,
3393487,655,52.0,0,0,0,0,2,27,88,161,2,,0,0.88,0.94,0,,,,,,
3517660,6,9.0,0,0,0,0,0,1,1,1,0,,0,0.94,0.83,0,,,,,,
3369497,177,8.0,17,240,360,510,59,151,267,409,78,,0,0.99,0.98,0,,,,,,
3462085,84,9.0,0,0,0,0,1,4,5,7,0,,0,0.95,0.89,0,,,,,,
3496821,0,12.0,0,0,0,0,0,2,3,3,0,,0,0.57,0.68,0,,,,,,
3468124,0,4.0,0,0,0,0,0,0,0,0,0,,0,0.73,0.78,0,,,,,,
3342295,0,8.0,0,0,0,0,0,1,2,2,0,,0,1.0,0.98,0,,,,,,
3312989,2,,0,0,0,0,0,0,0,0,0,,0,-99.0,-99.0,0,,,,,,
3502775,183,8.0,61,255,447,671,63,204,441,707,87,,0,0.97,0.98,0,,,,,,
3427632,6,8.0,0,4,16,24,4,9,21,34,0,,0,0.98,0.97,0,,,,,,
3288696,182,16.0,0,0,0,0,0,5,6,6,3,,0,0.95,0.94,0,,,,,,
3348302,10,2.0,0,0,0,0,0,0,0,0,1,,0,0.94,0.95,0,,,,,,
3515391,39,2.0,0,0,0,0,0,0,12,12,0,,0,0.68,0.68,0,,,,,,
3425399,480,,0,0,0,0,3,10,16,28,11,,0,-99.0,-99.0,0,,,,,,
3337749,3,12.0,0,0,0,0,0,0,0,0,0,,0,0.73,0.79,0,,,,,,
3504263,831,8.0,0,0,0,0,6,13,22,33,2,,0,1.0,0.99,0,,,,,,
3412533,2,8.0,7,40,82,124,10,46,100,131,0,,0,0.54,0.71,0,,,,,,
3308200,21,2.0,0,0,0,0,0,1,1,2,0,,0,0.99,0.98,0,,,,,,
3370266,1,16.0,0,0,0,0,0,0,0,0,1,,0,0.31,0.4,0,,,,,,
3301737,2,8.0,0,0,0,0,0,0,0,0,0,,0,1.0,1.0,0,,,,,,
3298957,26,2.0,0,0,0,0,0,0,2,2,0,,0,0.46,0.65,0,,,,,,
3412913,3,2.0,0,0,0,0,0,0,0,0,0,,0,0.82,0.84,0,,,,,,
3474055,1,12.0,0,2,2,2,0,0,2,2,0,,0,0.57,0.68,0,,,,,,
3349200,1,16.0,0,0,0,0,0,0,0,1,1,,0,0.31,0.4,0,,,,,,
3357672,9,9.0,0,4,12,16,0,6,6,7,0,,0,0.94,0.83,0,,,,,,
3489206,4,,0,0,0,0,0,0,0,0,1,,0,-99.0,-99.0,0,,,,,,
3475001,13,2.0,0,18,36,72,4,19,46,57,1,,0,1.0,0.99,0,,,,,,
3434573,500,12.0,0,0,0,0,0,0,0,0,0,,0,0.94,0.87,0,,,,,,
3441375,369,8.0,0,200,401,604,47,189,422,680,140,,0,0.05,0.28,0,,,,,,
3417683,384,8.0,0,0,76,114,26,94,258,426,62,,0,0.95,0.95,0,,,,,,
3305155,4,9.0,0,0,0,0,0,0,0,0,0,,0,0.7,0.66,0,,,,,,
3356108,46,8.0,1,55,99,143,16,60,115,154,50,,0,0.99,0.98,0,,,,,,
3350525,12,12.0,0,0,0,0,0,0,0,0,0,,0,0.73,0.79,0,,,,,,
3493677,7,9.0,0,6,6,11,0,3,10,13,6,,0,1.0,0.98,0,,,,,,
3440568,0,12.0,0,5,8,8,0,0,0,0,0,,0,0.73,0.79,0,,,,,,
3355932,6,8.0,1,0,5,10,0,2,4,6,0,,0,0.99,0.99,0,,,,,,
3505691,3,2.0,0,0,0,0,1,1,1,1,0,,0,0.82,0.81,0,,,,,,
3464436,1,8.0,0,3,3,3,0,1,2,3,0,,0,1.0,0.92,0,,,,,,
3378885,3,12.0,0,0,0,0,0,0,0,0,0,,0,0.73,0.79,0,,,,,,
3296303,6,8.0,0,0,10,10,1,4,7,7,1,,0,0.94,0.81,0,,,,,,
3433264,37,14.0,0,0,0,0,0,0,1,1,2,,0,0.99,0.99,0,,,,,,
3318275,5,12.0,0,16,32,32,0,7,11,20,0,,0,0.83,0.92,0,,,,,,
3373015,1,2.0,10,0,0,10,0,3,3,4,0,,0,0.71,0.59,0,,,,,,
3320049,1,12.0,51,34,85,136,6,43,78,149,23,,0,0.73,0.79,0,,,,,,
3352017,20,,0,0,0,0,0,0,0,0,0,,0,-99.0,-99.0,0,,,,,,
3332073,18,8.0,0,36,104,138,9,40,65,95,8,,0,0.97,0.91,0,,,,,,
3463013,55,8.0,29,31,93,129,14,49,119,172,40,,0,0.87,0.88,0,,,,,,
3503033,6,8.0,0,0,0,2,1,2,3,3,2,,0,0.41,0.59,0,,,,,,
3452684,2,4.0,0,2,4,6,1,3,5,6,2,,0,1.0,0.93,0,,,,,,
3420186,3975,8.0,4032,7217,9017,10817,4247,5671,6610,11786,2608,,0,0.98,0.92,0,,,,,,
3387289,123,12.0,34,0,134,134,22,81,148,211,26,,0,0.92,0.94,0,,,,,,
3286942,48,8.0,5,99,151,216,23,64,125,199,33,,0,0.16,0.1,1,,,,,,
3516934,108,2.0,67,132,264,429,44,145,306,488,51,,0,0.99,0.99,0,,,,,,
3501703,4,2.0,0,20,20,20,0,0,1,1,0,,0,0.5,0.52,0,,,,,,
3406996,4,2.0,0,72,72,72,4,10,24,31,2,,0,0.27,0.26,0,,,,,,
3397769,53,4.0,0,0,28,56,4,32,61,82,2,,0,0.97,0.97,0,,,,,,
3403816,4,4.0,4,1,3,4,0,2,3,6,1,,0,0.73,0.78,0,,,,,,
3494538,6,2.0,0,0,0,0,0,2,8,8,0,,0,0.98,0.99,0,,,,,,
3313838,51,3.0,0,0,21,42,5,18,57,85,0,,0,0.89,0.9,0,,,,,,
3294317,11,8.0,0,0,0,0,0,0,0,0,1,,0,0.87,0.94,0,,,,,,
3434160,11,2.0,0,0,0,0,0,0,0,0,0,,0,0.84,0.8,0,,,,,,
3461616,10,4.0,10,0,0,0,0,0,0,0,0,,0,0.73,0.78,0,,,,,,
3508563,2,12.0,0,0,0,0,0,0,0,0,0,,0,0.73,0.79,0,,,,,,
3442597,54,8.0,0,0,0,0,0,0,2,3,0,,0,0.84,0.79,0,,,,,,
3294434,2444,12.0,0,5000,5000,5000,0,42,78,78,24,,0,0.48,0.48,0,,,,,,
3409623,394,8.0,0,0,0,0,0,1,1,1,0,,0,-99.0,0.08,0,,,,,,
3322610,3,9.0,0,0,0,0,0,0,0,0,1,,0,0.7,0.66,0,,,,,,
3518996,22,2.0,0,27,63,81,12,33,77,101,0,,0,0.97,0.93,0,,,,,,
3357120,7,8.0,0,0,0,0,0,0,0,5,1,,0,0.95,0.97,0,,,,,,
3414750,17,2.0,0,24,48,72,3,12,27,39,0,,0,0.98,0.98,0,,,,,,
3425842,235,2.0,0,882,1512,2268,162,598,1117,1501,155,,84,0.0,0.0,1,,,,,,
3304749,812,8.0,34,0,0,0,45,212,269,309,91,,0,0.97,0.96,0,,,,,,
3328312,0,9.0,0,2,2,2,0,0,0,0,0,,0,0.7,0.66,0,,,,,,
3393381,17,8.0,0,0,0,0,1,1,6,11,0,,0,0.82,0.9,0,,,,,,
3383479,995,9.0,263,559,1567,2911,396,1324,2457,3509,412,,0,0.98,0.98,0,,,,,,
3325536,1,12.0,0,0,0,0,0,0,0,0,0,,0,0.73,0.79,0,,,,,,
3305709,1,9.0,0,0,1,1,0,1,1,1,1,,0,0.99,0.99,0,,,,,,
3413228,9,9.0,0,0,0,0,0,0,0,0,0,,0,0.85,0.82,0,,,,,,
3518670,562,8.0,10,0,0,504,53,164,326,530,76,,0,0.0,0.0,0,,,,,,
3293326,0,2.0,0,5,6,6,0,0,0,0,0,,0,0.0,0.04,0,,,,,,
3457400,76,2.0,0,0,0,0,0,0,0,0,0,,0,0.97,0.95,0,,,,,,
3434471,8,8.0,0,0,0,0,0,1,1,1,0,,0,0.98,0.97,0,,,,,,
3322993,11,9.0,7,0,0,0,1,4,9,14,0,,0,0.94,0.83,0,,,,,,
3416679,124,2.0,0,0,0,0,0,1,1,2,0,,0,0.81,0.78,0,,,,,,
3453019,10,8.0,0,0,0,0,3,5,8,10,0,,0,0.83,0.92,0,,,,,,
3318074,323,8.0,50,150,400,600,173,581,1128,1662,80,,0,0.78,0.84,0,,,,,,
3395928,11,2.0,0,0,0,0,0,0,0,0,0,,0,0.78,0.75,0,,,,,,
3472269,6,8.0,0,0,0,0,1,4,4,8,0,,0,0.81,0.75,0,,,,,,
3338443,22,8.0,0,0,0,0,1,3,8,14,2,,0,0.98,0.98,0,,,,,,
3385702,7,8.0,0,19,29,39,2,17,26,32,0,,0,0.93,0.96,0,,,,,,
3360533,66,9.0,2,45,81,101,5,33,101,139,15,,0,0.85,0.82,0,,,,,,
3435076,4,2.0,0,0,0,0,0,0,0,0,0,,0,0.15,0.1,0,,,,,,
3467652,2,8.0,0,0,0,0,0,0,0,0,0,,0,0.98,0.98,0,,,,,,
3314663,135,8.0,13,105,105,105,44,97,195,295,54,,0,0.53,0.54,0,,,,,,
3480524,25,8.0,5,0,25,50,2,7,37,51,7,,0,0.65,0.71,0,,,,,,
3298748,81,52.0,0,0,0,0,0,0,0,0,0,,0,0.99,0.99,0,,,,,,
3462333,54,8.0,0,0,0,0,3,11,22,36,0,,0,0.98,0.99,0,,,,,,
3414367,6751,8.0,0,0,0,0,0,0,0,0,0,,0,1.0,1.0,0,,,,,,
3444314,134,,0,0,0,0,0,0,0,0,0,,0,-99.0,-99.0,0,,,,,,
3447470,5411,52.0,0,0,0,0,3,5,15,17,2,,0,0.99,0.91,0,,,,,,
3469877,9,8.0,0,0,0,0,0,0,0,0,2,,0,0.64,0.64,0,,,,,,
3437666,76,2.0,0,49,99,149,18,53,95,135,21,,0,1.0,0.99,0,,,,,,
3336097,6,4.0,0,0,0,0,0,0,0,0,0,,0,0.73,0.78,0,,,,,,
3487427,5,9.0,0,0,0,0,0,0,0,0,1,,0,0.99,0.99,0,,,,,,
3294173,2,8.0,0,0,0,0,0,0,0,0,0,,0,0.98,0.98,0,,,,,,
3333583,7,8.0,0,0,0,0,0,0,0,0,0,,0,0.72,0.63,0,,,,,,
3439193,62,8.0,0,59,119,164,27,80,136,219,19,,0,0.99,0.99,0,,,,,,
3481984,41,2.0,20,0,40,60,3,10,21,33,5,,0,0.64,0.5,0,,,,,,
3377020,71,8.0,0,18,54,84,7,25,81,141,19,,0,0.79,0.86,0,,,,,,
3302631,7,9.0,0,0,0,0,0,0,1,1,0,,0,0.7,0.66,0,,,,,,
3408100,14,12.0,0,0,0,0,0,0,0,0,0,,0,0.68,0.49,0,,,,,,
3460754,99,4.0,0,0,0,0,0,0,1,1,2,,0,-99.0,-99.0,0,,,,,,
3302510,257,8.0,0,0,0,0,0,6,13,18,1,,0,1.0,0.87,0,,,,,,
3419441,11,9.0,0,0,0,0,0,0,0,0,1,,0,0.7,0.66,0,,,,,,
3425224,39,8.0,0,0,0,0,0,0,0,0,0,,0,0.96,0.96,0,,,,,,
3513105,73,8.0,4,24,48,96,11,34,65,108,20,,0,0.95,0.96,0,,,,,,
3459584,39,8.0,0,7,24,32,5,24,53,87,26,,0,0.38,0.38,0,,,,,,
3421037,74,8.0,0,0,0,0,0,2,4,4,3,,0,0.92,0.91,0,,,,,,
3445023,1378,12.0,125,490,1490,2490,311,1140,3047,4472,363,,0,0.92,0.9,1,,,,,,
3288139,146,2.0,28,180,348,528,63,193,471,635,66,,0,1.0,1.0,0,,,,,,
3381171,2,8.0,0,0,0,0,0,0,0,0,0,,0,0.88,0.94,0,,,,,,
3515616,10,8.0,0,25,25,50,5,13,22,39,0,,0,0.69,0.67,0,,,,,,
3466295,5,12.0,0,0,0,0,0,0,1,1,0,,0,0.57,0.68,0,,,,,,
3420566,55,4.0,4,162,274,386,27,82,143,174,24,,0,0.79,0.66,0,,,,,,
3293243,33,2.0,0,26,40,122,16,62,184,241,29,,0,0.89,0.93,0,,,,,,
3343075,0,5.0,0,2,2,2,0,0,0,0,0,,0,0.65,0.71,0,,,,,,
3426935,1295,8.0,0,0,0,0,107,362,837,1294,70,,0,0.61,0.6,0,,,,,,
3406773,8,9.0,0,0,0,0,0,0,1,1,0,,0,0.94,0.83,0,,,,,,
3337454,19,2.0,0,0,0,0,0,0,0,0,0,,0,0.89,0.95,0,,,,,,
3484807,98,2.0,0,0,0,0,0,2,10,12,0,,0,0.96,0.9,0,,,,,,
3519046,113,8.0,0,0,0,0,0,0,0,0,1,,0,0.96,0.95,0,,,,,,
3391947,50,2.0,0,0,0,0,0,0,0,0,0,,0,0.68,0.75,0,,,,,,
3465385,361,4.0,0,0,0,0,0,0,0,0,0,,0,0.73,0.78,0,,,,,,
3363290,11,2.0,0,0,0,0,0,0,0,0,0,,0,0.44,0.48,0,,,,,,
3308938,7,8.0,0,8,14,22,1,7,15,21,0,,0,0.87,0.8,0,,,,,,
3334336,181,8.0,0,0,0,0,1,2,6,8,2,,0,1.0,0.98,0,,,,,,
3472955,133,8.0,13,67,199,265,8,39,96,147,25,,0,1.0,0.99,0,,,,,,
3480855,67,8.0,2,0,0,16,2,11,53,93,33,,0,0.16,0.1,0,,,,,,
3463508,7,4.0,0,0,0,0,0,0,0,0,0,,0,0.73,0.78,0,,,,,,
3302048,13,12.0,0,0,0,0,0,0,0,0,1,,0,0.48,0.48,0,,,,,,
3329336,0,2.0,0,0,35,50,0,0,4,4,1,,0,0.62,0.58,4,,,,,,
3359660,15,12.0,0,0,0,0,0,0,0,0,1,,0,0.48,0.48,0,,,,,,
3315494,0,8.0,0,0,0,0,1,5,27,43,0,,0,0.76,0.84,0,,,,,,
3373900,10,12.0,0,0,0,0,0,0,0,0,2,,0,0.0,0.0,0,,,,,,
3299925,79,8.0,0,0,0,0,1,1,1,6,1,,0,0.92,0.92,0,,,,,,
3354967,3527,8.0,0,0,0,0,1,5,18,28,0,,0,0.77,0.73,0,,,,,,
3331980,2,12.0,0,0,0,0,0,0,0,0,0,,0,0.57,0.68,0,,,,,,
3504628,4,8.0,0,0,0,0,3,5,11,12,0,,0,0.87,0.9,0,,,,,,
3413380,3950,2.0,0,3000,6000,9000,644,2502,5418,8020,945,,0,1.0,1.0,0,,,,,,
3375643,18,2.0,0,0,24,51,9,22,42,68,2,,0,0.6,0.71,0,,,,,,
3422851,5,4.0,0,0,3,3,2,3,8,10,0,,0,0.73,0.78,0,,,,,,
3483796,398,9.0,0,208,624,832,80,294,640,896,99,,0,1.0,1.0,0,,,,,,
3399682,8,3.0,0,0,2,2,1,2,2,2,0,,0,0.98,0.99,0,,,,,,
3308205,10,8.0,0,0,0,0,0,0,0,0,0,,0,0.95,0.97,0,,,,,,
3425519,4,2.0,0,6,9,12,5,11,13,17,0,,0,0.79,0.9,0,,,,,,
3507098,3,8.0,0,0,0,0,0,0,0,0,1,,0,0.98,0.97,0,,,,,,
3417715,7,12.0,0,0,0,0,0,2,2,5,0,,0,0.73,0.79,0,,,,,,
3423738,378,8.0,0,0,0,0,0,0,0,0,2,,0,0.56,0.68,0,,,,,,
3323907,95,,0,0,0,0,0,0,3,5,2,,0,-99.0,-99.0,0,,,,,,
3292911,12,9.0,0,0,0,0,1,1,1,1,0,,0,0.99,0.99,0,,,,,,
3460489,0,8.0,0,0,0,0,0,0,0,0,0,,0,0.94,0.96,0,,,,,,
3289835,964,12.0,8,1320,2420,3410,52,269,552,872,120,,0,0.73,0.79,0,,,,,,
3491352,6,12.0,0,0,0,0,0,0,0,0,0,,0,0.57,0.68,0,,,,,,
3509167,344,2.0,26,480,870,1230,129,384,731,1195,226,,0,1.0,0.99,0,,,,,,
3409635,107,8.0,0,0,0,0,0,1,2,3,0,,0,0.99,0.99,0,,,,,,
3382724,269,8.0,53,254,430,686,95,328,619,958,126,,0,0.9,0.89,0,,,,,,
3316900,5,8.0,0,0,0,0,0,0,0,0,1,,0,0.8,0.86,0,,,,,,
3357371,3,9.0,6,5,5,8,0,4,6,12,0,,0,0.54,0.48,0,,,,,,
3507127,1992,9.0,0,0,0,0,0,0,4,9,0,,0,0.94,0.83,0,,,,,,
3463670,105,2.0,0,0,0,0,0,0,0,0,0,,0,0.98,0.99,0,,,,,,
3296655,419,,179,0,0,0,79,219,416,484,109,,0,-99.0,-99.0,0,,,,,,
3328411,3,12.0,0,0,0,0,0,0,0,0,0,,0,0.57,0.68,0,,,,,,
3296030,1,8.0,0,2,2,2,0,0,0,1,1,,0,0.8,0.79,0,,,,,,
3498567,91,4.0,0,0,0,0,3,9,16,28,6,,0,0.73,0.78,0,,,,,,
3505478,37,8.0,0,0,0,0,0,4,11,13,0,,0,0.68,0.75,0,,,,,,
3492354,22,8.0,0,0,0,0,0,0,0,1,0,,0,0.99,0.99,0,,,,,,
3334050,8,9.0,0,5,11,21,1,8,18,23,4,,0,0.99,0.99,0,,,,,,
3314545,140,8.0,6,0,0,0,1,14,35,74,12,,0,0.83,0.86,0,,,,,,
3474892,75,8.0,0,0,0,0,3,6,14,18,0,,0,1.0,0.96,0,,,,,,
3498860,68,8.0,1,47,94,158,14,53,112,175,15,,0,0.95,0.77,0,,,,,,
3482836,94,2.0,0,0,0,0,0,0,1,1,0,,0,0.4,0.42,0,,,,,,
3391658,828,,0,0,0,0,0,0,0,0,0,,0,-99.0,-99.0,0,,,,,,
3526841,13,8.0,0,0,0,0,0,0,0,0,0,,0,0.87,0.82,0,,,,,,
3400763,41,8.0,0,0,0,0,2,13,19,26,3,,0,0.95,0.77,0,,,,,,
3468770,10,8.0,0,0,0,0,1,1,1,1,0,,0,0.78,0.75,0,,,,,,
3404257,89,8.0,0,0,0,35,8,31,71,136,22,,0,0.79,0.66,0,,,,,,
3447255,2181,2.0,1,0,0,0,2,10,2563,2971,47,,0,0.9,0.91,0,,,,,,
3498638,32,9.0,0,0,0,0,0,8,11,13,0,,0,0.94,0.83,0,,,,,,
3518289,5,4.0,0,0,1,1,0,0,0,0,0,,0,0.57,0.68,0,,,,,,
3388407,433,8.0,1,0,0,0,8,30,49,61,18,,0,0.95,0.93,0,,,,,,
3382504,0,13.0,0,0,0,0,0,2,12,12,0,,0,0.82,0.81,0,,,,,,
3409733,20,8.0,0,0,60,60,2,8,17,26,0,,0,0.93,0.89,0,,,,,,
3367722,2,10.0,0,0,0,0,0,0,0,0,0,,0,0.89,0.9,0,,,,,,
3348614,5,8.0,0,0,0,0,0,0,1,3,0,,0,0.98,0.98,0,,,,,,
3406876,25,8.0,0,0,0,0,3,11,18,25,2,,0,0.99,0.99,0,,,,,,
3427938,131,2.0,0,0,0,0,0,1,4,5,1,,0,0.99,0.99,0,,,,,,
3408259,100,12.0,0,0,0,0,0,0,0,0,1,,0,0.77,0.81,0,,,,,,
3396549,52,,0,0,0,0,0,1,2,2,2,,0,-99.0,-99.0,0,,,,,,
3423487,5,2.0,0,0,0,0,0,0,0,2,0,,0,0.84,0.87,0,,,,,,
3408695,566,2.0,336,0,215,365,63,228,441,691,66,,0,0.9,0.95,0,,,,,,
3520688,2,8.0,0,0,0,0,0,0,1,1,0,,0,0.97,0.97,0,,,,,,
3461836,72,12.0,14,52,100,132,18,64,120,174,21,,0,0.73,0.79,0,,,,,,
3429673,15,52.0,0,0,0,0,0,3,5,5,0,,0,0.96,0.91,0,,,,,,
3366310,23,8.0,0,0,0,0,1,3,5,6,7,,0,0.94,0.97,0,,,,,,
3322196,1,8.0,2,12,20,28,3,8,16,20,1,,0,0.84,0.86,0,,,,,,
3442147,235,2.0,0,0,0,0,0,0,0,0,0,,0,0.63,0.72,0,,,,,,
3310556,3797,8.0,665,3073,4201,6175,662,2438,6283,9187,1147,,274,0.88,0.91,0,,,,,,
3320002,2295,8.0,0,0,0,0,0,0,21,46,6,,0,0.41,0.47,0,,,,,,
3517213,37,8.0,0,92,236,308,3,50,89,178,0,,0,0.94,0.92,0,,,,,,
3422174,11,8.0,0,0,0,0,0,0,0,0,1,,0,0.98,0.98,0,,,,,,
3347365,12,2.0,0,0,0,0,0,0,1,1,0,,0,0.1,0.11,0,,,,,,
3309129,2,9.0,0,0,0,0,0,0,0,0,0,,0,0.7,0.66,0,,,,,,
3313601,11,8.0,0,0,0,0,0,0,0,2,0,,0,0.83,0.85,0,,,,,,
3414201,275,4.0,115,281,596,722,178,376,989,1447,104,,0,0.73,0.78,0,,,,,,
3423942,77,8.0,0,9,48,87,8,35,80,137,23,,0,0.99,0.98,0,,,,,,
3526126,25,8.0,0,0,26,39,2,11,24,41,0,,0,0.83,0.91,0,,,,,,
3462551,19,3.0,0,0,0,0,0,0,1,1,0,,0,0.98,0.99,0,,,,,,
3419214,5,8.0,0,4,4,6,3,10,15,27,3,,0,0.66,0.64,0,,,,,,
3286529,9,4.0,0,0,0,0,1,2,2,4,0,,0,0.73,0.78,0,,,,,,
3458187,16,8.0,0,0,0,0,0,0,0,0,2,,0,0.82,0.84,0,,,,,,
3360262,32,2.0,0,55,121,176,17,65,102,132,7,,0,0.95,0.97,0,,,,,,
3518024,249,8.0,138,340,820,1276,96,368,830,1303,111,,4,0.89,0.95,0,,,,,,
3479512,8,2.0,0,0,0,0,2,3,6,7,0,,0,0.9,0.91,0,,,,,,
3376560,18,4.0,0,0,0,0,0,1,1,1,0,,0,0.73,0.78,0,,,,,,
3446714,9,8.0,0,0,0,0,0,0,0,0,0,,0,0.79,0.79,0,,,,,,
3417761,6,8.0,3,15,27,39,2,12,19,37,0,,0,0.73,0.7,0,,,,,,
3389008,2948,8.0,1392,3708,7722,12486,1341,4609,9059,13774,1279,,0,0.96,0.98,0,,,,,,
3315108,53,9.0,0,0,0,0,3,3,3,4,0,,0,0.85,0.82,0,,,,,,
3440838,3,9.0,0,0,0,0,0,0,0,0,0,,0,0.94,0.83,0,,,,,,
3368936,4,4.0,3,0,0,0,0,0,0,0,0,,0,0.22,0.15,0,,,,,,
3353076,107,12.0,0,0,0,0,0,1,1,2,1,,0,0.77,0.75,0,,,,,,
3395751,93,,0,0,0,0,2,5,13,22,13,,0,-99.0,-99.0,0,,,,,,
3286073,0,,0,0,0,0,0,0,0,0,0,,0,-99.0,-99.0,0,,,,,,
3295810,102,12.0,0,0,0,0,0,1,2,2,2,,0,0.56,0.58,0,,,,,,
3406314,96,8.0,96,416,928,1472,0,0,0,0,0,,0,0.97,0.98,0,,,,,,
3304579,-1,3.0,0,17,17,17,0,1,1,5,1,,0,0.75,0.66,1,,,,,,
3309747,489,8.0,800,100,100,100,24,135,309,526,72,,0,0.96,0.96,0,,,,,,
3439146,1,8.0,0,1,2,3,0,1,1,3,4,,0,0.94,0.96,0,,,,,,
3445007,164,8.0,0,0,0,0,0,2,2,7,0,,0,0.51,0.61,0,,,,,,
3364724,2784,4.0,2725,12645,20185,30970,3458,11693,22128,30411,1908,,0,0.87,0.91,0,,,,,,
3413362,183,28.0,0,0,0,0,1,13,25,43,5,,0,1.0,1.0,0,,,,,,
3291023,9,8.0,3,9,9,18,3,11,18,28,0,,0,0.99,0.99,0,,,,,,
3339903,30,8.0,0,0,0,0,0,0,0,0,2,,0,0.88,0.64,0,,,,,,
3401259,10,9.0,0,0,3,6,1,6,8,9,0,,0,1.0,1.0,0,,,,,,
3442135,15,,0,0,0,0,0,0,0,0,0,,0,-99.0,-99.0,0,,,,,,
3381923,4,8.0,0,0,0,0,0,0,0,0,0,,0,0.93,0.89,0,,,,,,
3517158,24,12.0,0,0,10,30,0,10,16,19,0,,0,0.94,0.87,0,,,,,,
3461104,45,2.0,0,0,0,0,0,2,3,3,1,,0,0.98,0.99,0,,,,,,
3438125,9,8.0,0,0,0,0,1,2,2,2,0,,0,0.2,0.34,0,,,,,,
3348369,37,8.0,0,0,0,0,1,12,17,20,0,,0,0.55,0.74,0,,,,,,
3333328,17,,0,0,0,0,0,0,0,0,0,,0,-99.0,-99.0,0,,,,,,
3493590,0,2.0,2,0,0,0,0,0,0,0,0,,0,0.78,0.78,0,,,,,,
3407950,0,12.0,0,504,504,504,0,0,0,0,0,,0,0.94,0.87,0,,,,,,
